Date,Close,Change
10/7/15,94.24,0.87
10/8/15,95.57,1.33
10/9/15,94.94,-0.63
10/12/15,94.8,-0.14
10/13/15,93.7,-1.1
10/14/15,93.06,-0.64
10/15/15,94.65,1.59
10/16/15,96.13,1.48
10/19/15,96.79,0.66
10/20/15,96.91,0.12
10/21/15,96.06,-0.85
10/22/15,99.47,3.41
10/23/15,99.17,-0.3
10/26/15,99.53,0.36
10/27/15,99.27,-0.26
10/28/15,100.87,1.6
10/29/15,101.96,1.09
10/30/15,102.23,0.27
11/2/15,104.06,1.83
11/3/15,103.28,-0.78
11/4/15,102.23,-1.05
11/5/15,100.87,-1.36
11/6/15,98.03,-2.84
11/9/15,97.11,-0.92
11/10/15,97.13,0.02
11/11/15,97.62,0.49
11/12/15,97.35,-0.27
11/13/15,96.38,-0.97
11/16/15,98.05,1.67
11/17/15,98.35,0.3
11/18/15,99.66,1.31
11/19/15,99.63,-0.03
11/20/15,100.49,0.86
11/23/15,99.94,-0.55
11/24/15,99.26,-0.68
11/25/15,99.09,-0.17
11/27/15,99.68,0.59
11/30/15,99.38,-0.3
12/1/15,101.17,1.79
12/2/15,99.46,-1.71
12/3/15,97.89,-1.57
12/4/15,97.55,-0.34
12/7/15,97.69,0.14
12/8/15,96.88,-0.81
12/9/15,95.54,-1.34
12/10/15,95.07,-0.47
12/11/15,93.68,-1.39
12/14/15,94.04,0.36
12/15/15,95.61,1.57
12/16/15,97.5,1.89
12/17/15,96.09,-1.41
12/18/15,94.6,-1.49
12/21/15,95.56,0.96
12/22/15,96.42,0.86
12/23/15,98.5,2.08
12/24/15,98.14,-0.36
12/28/15,98.37,0.23
12/29/15,99.41,1.04
12/30/15,98.1,-1.31
12/31/15,96.95,-1.15
1/4/16,96.7,-0.25
1/5/16,98.61,1.91
1/6/16,98.26,-0.35
1/7/16,95.81,-2.45
1/8/16,94.23,-1.58
1/11/16,94.48,0.25
1/12/16,94.48,0
1/13/16,92.15,-2.33
1/14/16,92.21,0.06
1/15/16,88.39,-3.82
1/19/16,90.91,2.52
1/20/16,89,-1.91
1/21/16,90.02,1.02
1/22/16,93.25,3.23
1/25/16,91.12,-2.13
1/26/16,92.47,1.35
1/27/16,92.51,0.04
1/28/16,92.51,0
1/29/16,94.34,1.83
2/1/16,93.1,-1.24
2/2/16,91.35,-1.75
2/3/16,90.49,-0.86
2/4/16,91.09,0.6
2/5/16,88.84,-2.25
2/8/16,85.41,-3.43
2/9/16,85.57,0.16
2/10/16,85.84,0.27
2/11/16,83.66,-2.18
2/12/16,85.67,2.01
2/16/16,86.45,0.78
2/17/16,86.19,-0.26
2/18/16,87.5,1.31
2/19/16,87.32,-0.18
2/22/16,89.24,1.92
2/23/16,88.02,-1.22
2/24/16,89.03,1.01
2/25/16,89.42,0.39
2/26/16,90.01,0.59
2/29/16,92.2,2.19
3/1/16,94.7,2.5
3/2/16,94.62,-0.08
3/3/16,95.3,0.68
3/4/16,95.94,0.64
3/7/16,95.6,-0.34
3/8/16,94.6,-1
3/9/16,94.6,0
3/10/16,94.71,0.11
3/11/16,98.46,3.75
3/14/16,98.06,-0.4
3/15/16,98.41,0.35
3/16/16,99.81,1.4
3/17/16,101.75,1.94
3/18/16,100.51,-1.24
3/21/16,100.34,-0.17
3/22/16,99.93,-0.41
3/23/16,99.58,-0.35
3/24/16,100.35,0.77
3/28/16,100.24,-0.11
3/29/16,101.92,1.68
3/30/16,102.31,0.39
3/31/16,102.37,0.06
4/1/16,104.5,2.13
4/4/16,104.7,0.2
4/5/16,104,-0.7
4/6/16,105.7,1.7
4/7/16,105,-0.7
4/8/16,105.71,0.71
4/11/16,106.01,0.3
4/12/16,106.17,0.16
4/13/16,106.23,0.06
4/14/16,105.2,-1.03
4/15/16,105.78,0.58
4/18/16,105.54,-0.24
4/19/16,105.5,-0.04
4/20/16,104.82,-0.68
4/21/16,102.57,-2.25
4/22/16,104.19,1.62
4/25/16,104.18,-0.01
4/26/16,104.77,0.59
4/27/16,104.49,-0.28
4/28/16,104.13,-0.36
4/29/16,104.88,0.75
5/2/16,105.51,0.63
5/3/16,104.16,-1.35
5/4/16,105.51,1.35
5/5/16,106.31,0.8
5/6/16,106.57,0.26
5/9/16,106.65,0.08
5/10/16,107.18,0.53
5/11/16,105.73,-1.45
5/12/16,106.56,0.83
5/13/16,105.7,-0.86
5/16/16,106.48,0.78
5/17/16,105.36,-1.12
5/18/16,104.55,-0.81
5/19/16,103.77,-0.78
5/20/16,104.01,0.24
5/23/16,104.16,0.15
5/24/16,105.3,1.14
5/25/16,106.17,0.87
5/26/16,105.3,-0.87
5/27/16,106.06,0.76
5/31/16,105.78,-0.28
6/1/16,105.47,-0.31
6/2/16,106.56,1.09
6/3/16,106.97,0.41
6/6/16,107.2,0.23
6/7/16,107.87,0.67
6/8/16,107.56,-0.31
6/9/16,109.07,1.51
6/10/16,108.79,-0.28
